city,consultation_fee,degree,dp_score,location,name,npv,profile_url,scraped_at,speciality,year_of_experience,google_map_link
Bangalore,500,BDS,100.0,,Dr. Uzma Hassan,0,https://www.practo.com/bangalore/doctor/dr-uzma-hassan-dentist-1/recommended?practice_id=1602089&specialization=Dentist&referrer=doctor_listing&page_uid=cf731325-920f-4239-b6f1-c6131f9a7c0f,2025-08-16T19:05:45.188044,Dentist,,
Bangalore,700,BDS,99.0,Old Airport Road,Dr. Mir Sujath Ali,0,https://www.practo.com/bangalore/doctor/dr-mir-shujath-ali-dentist?practice_id=630200&specialization=Dentist&referrer=doctor_listing&page_uid=cf731325-920f-4239-b6f1-c6131f9a7c0f,2025-08-16T19:05:42.230775,Dentist,,"https://www.google.com/maps/search/Old+Airport+Road,+Bangalore,+Karnataka,+India"
Bangalore,700,MDS,100.0,Sahakaranagar,Dr. Anju Antony,0,https://www.practo.com/bangalore/doctor/dr-anju-antony-dentist?practice_id=1072417&specialization=Dentist&referrer=doctor_listing&page_uid=e57d40d0-aa33-4b96-b9d5-639665828cd3,2025-08-16T19:05:36.077790,Dentist,,"https://www.google.com/maps/search/Sahakaranagar,+Bangalore,+Karnataka,+India"
Bangalore,250,BDS,,Uttarahalli,Dr. Shailaja Patil,0,https://www.practo.com/bangalore/doctor/dr-shailaja-patil-dentist?practice_id=1457481&specialization=Dentist&referrer=doctor_listing&page_uid=f52914ab-42f4-4432-8df7-fb1ca057a0fe,2025-08-16T19:05:27.285815,Dentist,,"https://www.google.com/maps/search/Uttarahalli,+Bangalore,+Karnataka,+India"
Bangalore,300,BDS,97.0,Banashankari 3rd Stage,Dr. P V Moxit,0,https://www.practo.com/bangalore/doctor/dr-p-v-moxit-dentist?practice_id=766394&specialization=Dentist&referrer=doctor_listing&page_uid=1be7a04b-c49b-4fcf-ade6-f91c8e74422f,2025-08-16T19:05:18.089077,Dentist,,"https://www.google.com/maps/search/Banashankari+3rd+Stage,+Bangalore,+Karnataka,+India"
Bangalore,600,BDS,98.0,Whitefield,Dr. Kiran D N,0,https://www.practo.com/bangalore/doctor/kiran-d-n-dentist?practice_id=1131770&specialization=Dentist&referrer=doctor_listing&page_uid=9d162044-fc81-4848-bf70-d63e87f56927,2025-08-16T19:05:09.340472,Dentist,,"https://www.google.com/maps/search/Whitefield,+Bangalore,+Karnataka,+India"
Bangalore,400,BDS,100.0,Electronics City,Dr. Suhanya Prasanna Kumar,0,https://www.practo.com/bangalore/doctor/suhanya-prasanna-kumar-dentist?practice_id=1280322&specialization=Dentist&referrer=doctor_listing&page_uid=d68fe377-d91a-4b60-993f-a5ced22f01d3,2025-08-16T19:05:00.019903,Dentist,,"https://www.google.com/maps/search/Electronics+City,+Bangalore,+Karnataka,+India"
Bangalore,400,BDS,98.0,Kasturi nagar,Dr. Rupali Wankhede Panpate,0,https://www.practo.com/bangalore/doctor/rupali-panpate-dentist?practice_id=1069043&specialization=Dentist&referrer=doctor_listing&page_uid=348fd241-8e50-4695-84a8-d3af676f8abd,2025-08-16T19:04:51.105900,Dentist,,"https://www.google.com/maps/search/Kasturi+nagar,+Bangalore,+Karnataka,+India"
Bangalore,300,BDS,100.0,Jayanagar,Dr. Keerthi R,0,https://www.practo.com/bangalore/doctor/dr-keerthi-r-2-dentist?practice_id=1150779&specialization=Dentist&referrer=doctor_listing&page_uid=e10f12d4-e8c1-436d-9d9e-10a0a9e75cd9,2025-08-16T19:04:42.094432,Dentist,,"https://www.google.com/maps/search/Jayanagar,+Bangalore,+Karnataka,+India"
Bangalore,900,BDS,,Hebbal,Dr. Khalid Mohammed Khaliq,0,https://www.practo.com/bangalore/doctor/dr-khalid-mohammed-khaliq-dentist?practice_id=637575&specialization=Dentist&referrer=doctor_listing&page_uid=e57d40d0-aa33-4b96-b9d5-639665828cd3,2025-08-16T19:06:39.438783,Dentist,,"https://www.google.com/maps/search/Hebbal,+Bangalore,+Karnataka,+India"
Bangalore,350,BDS,100.0,VV Puram,Dr. Vinay Singh Yadav,0,https://www.practo.com/bangalore/doctor/vinay-singh-yadav-dentist?practice_id=1324379&specialization=Dentist&referrer=doctor_listing&page_uid=cf731325-920f-4239-b6f1-c6131f9a7c0f,2025-08-16T19:06:36.349119,Dentist,,"https://www.google.com/maps/search/VV+Puram,+Bangalore,+Karnataka,+India"
Bangalore,250,BDS,93.0,Electronics City,Dr. Priya Mahimtura,0,https://www.practo.com/bangalore/doctor/dr-priya-mahimtura-dentist?practice_id=673859&specialization=Dentist&referrer=doctor_listing&page_uid=cf731325-920f-4239-b6f1-c6131f9a7c0f,2025-08-16T19:06:24.319164,Dentist,,"https://www.google.com/maps/search/Electronics+City,+Bangalore,+Karnataka,+India"
