name,speciality,degree,year_of_experience,location,city,dp_score,npv,consultation_fee,profile_url,scraped_at,google_map_link
Dr. Ramnaresh Soudri,Cardiologist,MBBS,,Marathahalli,Bangalore,96.0,0,800,https://www.practo.com/bangalore/doctor/dr-ramanresh-soudri-cardiologist?practice_id=2076082&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,2025-09-03T07:56:02.346178,"http://maps.google.com/maps?f=d&amp;daddr=12.956102314138018,77.7112604&amp;hl=en"
Dr. A Naga Srinivaas,Cardiologist,MBBS,,,Bangalore,98.0,0,1000,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,2025-09-03T07:56:03.763938,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en"
Dr. A Naga Srinivaas,Cardiologist,MBBS,,Whitefield,Bangalore,98.0,0,1000,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,2025-09-03T07:56:07.449902,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en"
Dr. V Jayaprasad,Cardiologist,MBBS,20,,Bangalore,,0,600,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,2025-09-03T07:56:11.771310,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en"
Dr. V Jayaprasad,Cardiologist,MBBS,20,Whitefield,Bangalore,5.0,0,600,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,2025-09-03T07:56:14.319962,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en"
Dr. Kim Upadhyay,Dentist,BDS,8,,Bangalore,96.0,0,500,https://www.practo.com/bangalore/doctor/dr-kim-upadhyay-dentist/recommended?practice_id=1130291&specialization=Dentist&referrer=doctor_listing&page_uid=94acaefb-4873-407e-a8ab-ccee12e69051,2025-09-03T07:56:26.335959,"http://maps.google.com/maps?f=d&amp;daddr=12.92178,77.67198&amp;hl=en"
Dr. Savitha A S,Dermatologist,MBBS,15,Indiranagar,Bangalore,97.0,0,700,https://www.practo.com/bangalore/doctor/dr-savitha-a-s-dermatologist?practice_id=1598223&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,2025-09-03T07:56:30.640612,"http://maps.google.com/maps?f=d&amp;daddr=12.970237619587067,77.64005002883606&amp;hl=en"
Dr. Sheelavathi Natraj,Dermatologist,MBBS,,,Bangalore,94.0,0,900,https://www.practo.com/bangalore/doctor/sheelavathi-dermatologist-cosmetologist/recommended?practice_id=1473603&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,2025-09-03T07:56:34.188670,"http://maps.google.com/maps?f=d&amp;daddr=12.93508343459,77.622785185875&amp;hl=en"
Dr. Sheelavathi Natraj,Dermatologist,MBBS,,Koramangala 6 Block,Bangalore,94.0,0,900,https://www.practo.com/bangalore/doctor/sheelavathi-dermatologist-cosmetologist?practice_id=1473603&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,2025-09-03T07:56:37.042502,"http://maps.google.com/maps?f=d&amp;daddr=12.93508343459,77.622785185875&amp;hl=en"
Dr. Harish Prasad B.R,Dermatologist,MD,,,Bangalore,95.0,0,1000,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist/recommended?practice_id=1133982&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,2025-09-03T07:56:41.757482,"http://maps.google.com/maps?f=d&amp;daddr=12.91341,77.6067&amp;hl=en"
Dr. Harish Prasad B.R,Dermatologist,MD,,BTM Layout,Bangalore,95.0,0,1000,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist?practice_id=1133982&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,2025-09-03T07:56:45.796768,"http://maps.google.com/maps?f=d&amp;daddr=12.91341,77.6067&amp;hl=en"
