city,speciality,profile_url,name,degree,year_of_experience,location,dp_score,npv,consultation_fee,google_map_link,scraped_at
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-ramanresh-soudri-cardiologist?practice_id=2076082&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,Dr. Ramnaresh Soudri,MBBS,,Marathahalli,96.0,0,800,"http://maps.google.com/maps?f=d&amp;daddr=12.956102314138018,77.7112604&amp;hl=en",2025-09-03T07:56:02.346178
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,Dr. A Naga Srinivaas,MBBS,,,98.0,0,1000,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en",2025-09-03T07:56:03.763938
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-a-naga-srinivaas-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,Dr. A Naga Srinivaas,MBBS,,Whitefield,98.0,0,1000,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en",2025-09-03T07:56:07.449902
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist/recommended?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,Dr. V Jayaprasad,MBBS,20,,,0,600,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en",2025-09-03T07:56:11.771310
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-major-v-jayaprasad-cardiologist?practice_id=1466123&specialization=Cardiologist&referrer=doctor_listing&page_uid=f47c924c-5e82-4589-aa64-721fa4ab7caa,Dr. V Jayaprasad,MBBS,20,Whitefield,5.0,0,600,"http://maps.google.com/maps?f=d&amp;daddr=12.9912,77.7232&amp;hl=en",2025-09-03T07:56:14.319962
Bangalore,Dentist,https://www.practo.com/bangalore/doctor/dr-kim-upadhyay-dentist/recommended?practice_id=1130291&specialization=Dentist&referrer=doctor_listing&page_uid=94acaefb-4873-407e-a8ab-ccee12e69051,Dr. Kim Upadhyay,BDS,8,,96.0,0,500,"http://maps.google.com/maps?f=d&amp;daddr=12.92178,77.67198&amp;hl=en",2025-09-03T07:56:26.335959
Bangalore,Dermatologist,https://www.practo.com/bangalore/doctor/dr-savitha-a-s-dermatologist?practice_id=1598223&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,Dr. Savitha A S,MBBS,15,Indiranagar,97.0,0,700,"http://maps.google.com/maps?f=d&amp;daddr=12.970237619587067,77.64005002883606&amp;hl=en",2025-09-03T07:56:30.640612
Bangalore,Dermatologist,https://www.practo.com/bangalore/doctor/sheelavathi-dermatologist-cosmetologist/recommended?practice_id=1473603&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,Dr. Sheelavathi Natraj,MBBS,,,94.0,0,900,"http://maps.google.com/maps?f=d&amp;daddr=12.93508343459,77.622785185875&amp;hl=en",2025-09-03T07:56:34.188670
Bangalore,Dermatologist,https://www.practo.com/bangalore/doctor/sheelavathi-dermatologist-cosmetologist?practice_id=1473603&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,Dr. Sheelavathi Natraj,MBBS,,Koramangala 6 Block,94.0,0,900,"http://maps.google.com/maps?f=d&amp;daddr=12.93508343459,77.622785185875&amp;hl=en",2025-09-03T07:56:37.042502
Bangalore,Dermatologist,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist/recommended?practice_id=1133982&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,Dr. Harish Prasad B.R,MD,,,95.0,0,1000,"http://maps.google.com/maps?f=d&amp;daddr=12.91341,77.6067&amp;hl=en",2025-09-03T07:56:41.757482
Bangalore,Dermatologist,https://www.practo.com/bangalore/doctor/dr-harish-prasad-b-r-dermatologist-cosmetologist?practice_id=1133982&specialization=Dermatologist&referrer=doctor_listing&page_uid=dfae014a-4081-4833-a772-cc8b1165f56f,Dr. Harish Prasad B.R,MD,,BTM Layout,95.0,0,1000,"http://maps.google.com/maps?f=d&amp;daddr=12.91341,77.6067&amp;hl=en",2025-09-03T07:56:45.796768
